prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
sfzm35svdr,,,,,,,delosye01,21420,660787,11476,delosye01,12620
shpt3nvvld,,,,,,,povicca01,30055,700249,11924,povicca01,60658
sj139t1dn8,,,,,,,teelky01,33549,691019,11901,teelky01,62979
sjey1nz9r0,,,,,,,kahnlto01,11384,592454,8736,kahnlto01,9653
sjphbq4mqr,,,,,,,jonesgr02,25448,675659,11692,,11845
sjxeeswjlw,,,,,,,wiselbr01,27735,689172,11768,wiselbr01,12735
skknr6r6nh,,,,,,,raleica01,21534,663728,10866,raleica01,11531
slbkt2y2e8,,,,,,,canhama01,11445,592192,8977,canhama01,9898
slqsl23v80,,,,,,,mesavi01,25999,683748,10840,,60246
smdwhr99mm,,,,,,,nanceto01,19178,667297,11215,,12199
sme4ky5n5r,,,,,,,romodr01,27763,691011,11914,romodr01,12134
sn96msenxh,,,,,,,palacri01,24589,680700,10425,palacri01,12316
snkqz1bwed,,,,,,,svansma01,29629,694335,12266,,63308
sp8f7ws9r4,,,,,,,nelsory01,26253,669194,11326,nelsory01,12356
sq6q3jp7gr,,,,,,,leasujo01,29950,673929,12028,leasujo01,62085
sqlyex3bn4,,,,,,,leitema02,15551,643410,9648,leitema02,10681
sr6x6mey1w,,,,,,,fundeko01,24993,681892,11850,,61718
srl4pgb9sr,,,,,,,mcgousc01,12056,543518,9130,mcgousc01,10054
ssbt9jezer,,,,,,,blissry01,29547,669208,11941,blissry01,12358
st0rqlc7e0,,,,,,,minteaj01,18655,621345,9734,minteaj01,10794
st9y7f68q8,,,,,,,ennsdi01,13932,608650,9525,,10783
styptz72hm,,,,,,,fluhama01,31553,689254,12373,,61987
sv200zk1s8,,,,,,,walstbl01,26270,686796,11033,walstbl01,11727
sw1xbsxxbr,,,,,,,,sa3011527,674175,12431,,64128
swhnjwpyqd,,,,,,,nelsoky01,20515,669459,10929,nelsoky01,11893
swr2qn24ew,,,,,,,ribalor01,26247,687377,12153,,64784
sxc7z1lrmm,,,,,,,mastrmi01,20017,670156,10956,mastrmi01,12704
syz08wh7ed,,,,,,,torregl01,16997,650402,9778,torregl01,10236
sz0l0lq6bw,,,,,,,rutscad01,26288,668939,10704,rutscad01,11732
szw0f96ml0,,,,,,,deanju01,25005,681909,12438,,60883
t0gjezecx0,,,,,,,simpsjo02,25957,681006,11683,,12752
t1hbnjk7wm,,,,,,,waterdr01,20505,671221,10188,waterdr01,11272
t37wcrv1jw,,,,,,,,sa3017036,683522,11979,,63482
t3lrfzwzpr,,,,,,,montera01,12760,606160,8682,montera01,9598
t4mwxmp738,,,,,,,rileyau01,18360,663586,9821,rileyau01,10420
t4z4yp8p6w,,,,,,,tollepa01,35466,801139,12452,,64394
t57ntwlj3r,,,,,,,eflinza01,13774,621107,9379,eflinza01,10141
t5cm9gnqgd,,,,,,,martior01,25967,682619,10420,martior01,11407
t5xgkelm40,,,,,,,henceti01,sa3014709,693311,12033,henceti01,12177
t60mpp05m0,,,,,,,quantca01,19312,615698,9959,quantca01,10573
t75ezb9mx4,,,,,,,seymobo01,30028,676044,12442,,64093
t7nnx7w7r8,,,,,,,nerishe01,11804,593576,8860,nerishe01,9779
t84zmdvz34,,,,,,,lewisro02,20437,668904,10319,lewisro02,10916
t8crjneshm,,,,,,,britojh01,25386,666745,11638,britojh01,12713
t8fb82zb48,,,,,,,whiteel04,19346,642201,10821,whiteel04,11402
tcslgq1254,,,,,,,graveke01,15514,608665,8900,graveke01,9821
td5h5ehe58,,,,,,,simonro01,25346,682927,12022,,61697
tdteytdqt8,,,,,,,kinlety01,18297,641755,9938,kinlety01,10985
te3wspnnnr,,,,,,,ashcrbr01,23793,677952,11999,,11372
teswpd8zgw,,,,,,,roberlu01,20043,673357,9958,roberlu01,10765
tf94lltmxh,,,,,,,mccutan01,9847,457705,6696,mccutan01,7977
tf9fgkmr98,,,,,,,bartjo01,21524,663698,10245,bartjo01,11097
tfm5yxq1rd,,,,,,,rodrigr01,24492,680570,10207,rodrigr01,11277
tfqy3w0c84,,,,,,,pillake01,12434,607680,8576,pillake01,9490
tgp13vz3hh,,,,,,,bouchse01,21270,656248,11497,bouchse01,12639
thdk6ee42d,,,,,,,colege01,13125,543037,8231,colege01,9121
tjchys65zd,,,,,,,,sa3011555,671936,11971,,12535
tkgwnesnn4,,,,,,,,sa3043475,823771,,,
tky4em2vcd,,,,,,,croneja01,18036,630105,10766,croneja01,11692
tl5qp4skph,,,,,,,rodonca01,16137,607074,8942,rodonca01,9823
tl6zdqded4,,,,,,,diazel01,11680,553869,9153,diazel01,10076
tlbcrcn9z8,,,,,,,nikhado01,30142,680951,12276,,12403
tm3fq3drd4,,,,,,,fernary01,24862,681676,12004,fernary01,63499
tmz9hsrl10,,,,,,,corbipa01,9323,571578,8272,corbipa01,9168
tp7mhp8cgw,,,,,,,ferguty01,19481,621053,12087,ferguty01,61755
tqlgmrktx8,,,,,,,wolfrgr01,21623,664991,12330,,63647
tqzg9g7ty4,,,,,,,schwesp01,31846,680885,12096,schwesp01,12363
trelr34ntm,,,,,,,holdeco01,22361,670059,11469,holdeco01,12616
tsqhv98nhr,,,,,,,stubbga01,18067,596117,10201,stubbga01,10478
tvnpvjgp4h,,,,,,,gillalo01,22461,670810,11380,,12347
twq4e4nry8,,,,,,,palmqca01,31612,687223,12396,,60152
ty3jd0tjxd,,,,,,,maddety01,30140,680744,11918,maddety01,12423
tyt2rzbhww,,,,,,,harridu01,25705,687957,11589,harridu01,12567
tz4tgvl0xm,,,,,,,kjershe01,31166,677008,11771,kjershe01,12121
v0jwhpb2f4,,,,,,,cabreed02,21690,665795,10721,cabreed02,10903
v0qdg6px64,,,,,,,chapmar01,10233,547973,7709,chapmar01,8616
v11505ck4r,,,,,,,,sa3016976,701496,12297,,61691
v2g5gqr900,,,,,,,delosde01,sa3015168,691277,11615,delosde01,60057
v2sckwmvpw,,,,,,,anderty01,12880,542881,9107,anderty01,10031
v2sk5fkd6h,,,,,,,stephro01,13594,596112,8650,stephro01,9563
v3ldvp1mhh,,,,,,,paulegr01,31363,688363,11954,paulegr01,63624
v3tlfzh4d8,,,,,,,thorpdr01,31967,689672,11896,thorpdr01,60297
v4h33vlhc0,,,,,,,bachmsa01,29754,696147,11796,,12452
v4j1sgdk40,,,,,,,tauchmi01,15274,643565,9698,tauchmi01,10747
v577m59m7d,,,,,,,baldwbr01,31394,681460,12128,baldwbr01,63544
v5d20qhz4r,,,,,,,taylomi02,11489,572191,8866,taylomi02,9784
v5v328dqf8,,,,,,,cannojo02,31730,686563,12078,cannojo02,60159
v5yf5kb680,,,,,,,arandjo01,21837,666018,11394,arandjo01,12309
v6x0s407q4,,,,,,,gelofza01,29766,680869,11624,gelofza01,12503
v758z7xbjh,,,,,,,jonesno01,20529,666134,10304,jonesno01,10463
v80njhlnqr,,,,,,,stephty01,17988,663886,10358,stephty01,10456
v82ppqgz8h,,,,,,,brzykza01,27783,694350,11744,,60461
v8cesgr7nd,,,,,,,matzst01,13361,571927,8689,matzst01,9599
v8g23cr3yw,,,,,,,caglija01,35041,695506,12211,caglija01,64312
v8p2hk99b4,,,,,,,alexaty01,17735,641302,10646,alexaty01,10469
v8pwcecb0w,,,,,,,martida03,21448,663436,11470,martida03,12617
v8r6xlf8bh,,,,,,,strichu01,7836,519326,8890,strichu01,9809
v93v30k410,,,,,,,martiau01,27462,668885,10833,martiau01,12026
vbfrl2tc00,,,,,,,,sa3008916,683679,12281,,61813
vc60peyc70,,,,,,,youngco01,31680,702284,12249,youngco01,60580
vets6j81e0,,,,,,,peguejo01,21951,666711,12445,,63735
vf0qfcs8f4,,,,,,,halldl01,22207,669084,10187,halldl01,10848
vf0w8e6ppd,,,,,,,curtijo02,16128,595928,9733,curtijo02,10793
vfjnl3d444,,,,,,,,sa3015346,691330,12264,,64773
vgqzke5kkr,,,,,,,nunezed03,23162,674384,12421,,64804
vh85sl4gf4,,,,,,,waldrma01,25550,663362,11815,waldrma01,61395
vh9m48w37d,,,,,,,evanslo01,33699,688138,12208,evanslo01,64011
vhfzx82y9w,,,,,,,perazos02,22823,672724,11156,perazos02,12097
vjef1cgts4,,,,,,,lemahdj01,9874,518934,8079,lemahdj01,8949
vk4gr2zbhh,,,,,,,alexacj01,20557,680769,12115,,61739
vkbwtdzhzh,,,,,,,arozara01,19290,668227,10671,arozara01,11104
vlwc95c7j4,,,,,,,loftini01,27630,679845,11612,loftini01,12144
